,ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
9721,31687,◯,◯,Unknown,Sawako Kabuki hand-drawn animation.,ONA,1.0,Finished Airing,2010,Not Available,Unknown,Unknown,Unknown,Original,Avant Garde,Music,Unknown,1.0,R+ - Mild Nudity,3.801,1324.0,130552.0,9733,2273,2,2010.0
13250,29954,Embah,embah,Unknown,"Girl who watches something in glass. Young person who looks into in from the outside to house. Bear that held fishbowl. 

(Source: Taro Shinkai)",ONA,1.0,Finished Airing,2010,Not Available,Unknown,Unknown,Unknown,Original,Avant Garde,Unknown,Unknown,8.0,G - All Ages,3.941,363.0,130412.0,13267,636,0,2010.0
21358,44758,Xiyou Tonghua,稀有童话,Unknown,Unknown,ONA,1.0,Finished Airing,2010,Not Available,Unknown,Unknown,Unknown,Novel,"Adventure, Fantasy",Unknown,Kids,20.0,PG - Children,,,162862.0,21390,22,0,2010.0
17711,34163,Tsubuyaki-tai,つぶやき隊,Unknown,A surreal dialogue-heavy comedy where objects talk about their lives in an interview-style such as a toothbrush in a cup or a hamster.,ONA,52.0,Finished Airing,2011,2012,Unknown,Unknown,Unknown,Original,Comedy,Unknown,Unknown,5.0,PG-13 - Teens 13 or older,,,156992.0,17737,188,0,2011.0
16094,24053,Gunners,ガンナーズ,Unknown,A 3D-CG promotional video for the Gunners manga.,ONA,1.0,Finished Airing,2011,Not Available,Unknown,Unknown,Unknown,Unknown,Action,Mecha,Unknown,1.0,PG-13 - Teens 13 or older,,,181542.0,16119,292,0,2011.0
17955,33856,"Saitama-ken Zaijuu, Fujiyama Osamu, 33-sai, Mushoku (NEET).: Fujilog Nyuumon-hen",埼玉県在住、フジヤマオサム、33歳、無職(ニート)。～フジログ入門編～,Unknown,The original Fujilog ONA series before making it big with a TV series.,ONA,25.0,Finished Airing,2011,Not Available,Unknown,Unknown,Unknown,Original,Comedy,Unknown,Unknown,1.0,PG-13 - Teens 13 or older,,,146582.0,17981,173,0,2011.0
13152,32298,Nakanaori,なカなおり,Reconciliation,"Two blade-wielding adversaries face off against each other, but neither of them can gain the upper hand. As the battle eventually reaches a draw, the only thing left to do is reconcile.

[Written by MAL Rewrite]
",ONA,1.0,Finished Airing,2011,Not Available,Unknown,Unknown,Unknown,Original,Action,Samurai,Unknown,49.0,PG - Children,4.761,362.0,127012.0,13167,657,1,2011.0
17999,49614,Cats Run,달려라 고양이,Cats Run,"One day, two cats come across a baby bird on the road. The cats decide to save the bird who has chosen a dangerous way to live. Directed by Kim Yung-gwang & Kim Jin-yung (Korea).

(Source: YouTube)",ONA,1.0,Finished Airing,2012,Not Available,Unknown,Unknown,Studio Nuck,Original,"Adventure, Comedy",Unknown,Unknown,10.0,G - All Ages,,,172592.0,18025,171,0,2012.0
16436,15971,Dasshutsu Gasshapon,脱出ガシャポン,Unknown,"The story revolves around Shouta, a regular high school boy whose life is suddenly changed when a creature called a Gasshapon appears in front of him, and claims to come from the future. (The Gasshapon is shaped like Bandai's Gashapon prize-dispensing machines.) The Gasshapon was sent to the past by the future Shouta, from an era in which an alien group called CC (or Cold Cosmo) have made it their mission to change all stars and planets that have light and warmth into dark, cold places like their own. The Gasshapon had intended to take young Shouta to 2080 to save the future, but because time travel had not been fully perfected yet, Shouta is thrown into a completely different time, the era of the Honnouji Incident (1582), where Shouta actually becomes the famous warlord Oda Nobunaga. 

(Source: ANN)",ONA,10.0,Finished Airing,2012,Not Available,"Bandai, Kyotoma",Unknown,Unknown,Other,Sci-Fi,Historical,Unknown,3.0,PG-13 - Teens 13 or older,,,175802.0,16461,266,0,2012.0
21287,46047,Caicaitoon,菜菜头,Unknown,Unknown,ONA,8.0,Finished Airing,2012,Unknown,Unknown,Unknown,Unknown,Unknown,Fantasy,Unknown,Kids,3.0,PG - Children,,,172222.0,21316,22,0,2012.0
