Start_Aired,Genres,count
1974-12-04,Unknown,1
1975-01-01,Avant Garde,8
1975-01-01,Unknown,4
1975-01-01,Comedy,1
1975-01-01,Supernatural,1
1975-01-05, Slice of Life,1
1975-01-05,Drama,1
1975-01-07,Unknown,1
1975-02-01,Unknown,1
1975-02-11,Unknown,1
1975-03-21,Sci-Fi,1
1975-03-21, Romance,1
1975-03-21, Sci-Fi,1
1975-03-21,Action,1
1975-03-21,Fantasy,1
1975-04-01,Adventure,1
1975-04-01, Comedy,1
1975-04-04, Sci-Fi,1
1975-04-04, Adventure,1
1975-04-04, Drama,1
1975-04-04,Action,1
1975-04-04,Adventure,1
1975-04-05, Slice of Life,1
1975-04-05,Adventure,1
1975-04-07, Suspense,1
1975-04-07,Adventure,1
1975-04-09,Drama,1
1975-05-15,Action,1
1975-05-15, Sci-Fi,1
1975-05-23,Unknown,1
1975-06-04,Unknown,1
1975-06-21,Drama,1
1975-07-02,Action,1
1975-07-02, Adventure,1
1975-07-02, Sci-Fi,1
1975-07-21,Action,1
1975-07-21, Romance,1
1975-07-26, Sci-Fi,1
1975-07-26,Action,1
1975-07-30,Adventure,1
1975-08-02,Unknown,1
1975-10-01,Unknown,2
1975-10-01, Fantasy,1
1975-10-01, Romance,1
1975-10-01,Adventure,1
1975-10-03, Comedy,1
1975-10-03,Adventure,1
1975-10-04, Comedy,1
1975-10-04,Adventure,1
1975-10-05, Sci-Fi,1
1975-10-05,Action,1
1975-10-05,Sci-Fi,1
1975-10-06, Slice of Life,1
1975-10-06,Adventure,1
1975-10-06,Comedy,1
1975-10-06,Unknown,1
1975-10-07,Adventure,1
1975-10-15,Comedy,1
1975-12-02,Mystery,1
1975-12-05,Unknown,1
1976-01-01,Unknown,9
1976-01-01,Drama,2
1976-01-01,Adventure,1
1976-01-01,Fantasy,1
1976-01-01,Supernatural,1
1976-01-01,Action,1
1976-01-01, Supernatural,1
1976-01-01, Drama,1
1976-01-01, Fantasy,1
1976-01-01, Romance,1
1976-01-01, Sci-Fi,1
1976-01-02, Drama,1
1976-01-02,Adventure,1
1976-01-04, Slice of Life,1
1976-01-04,Adventure,1
1976-01-04, Drama,1
1976-01-07,Fantasy,1
1976-02-04,Unknown,1
1976-02-05,Unknown,1
1976-02-11, Fantasy,1
1976-02-11,Action,1
1976-03-20,Adventure,1
1976-03-20,Sci-Fi,1
1976-04-01,Adventure,2
1976-04-01, Horror,1
1976-04-01, Sci-Fi,1
1976-04-01, Supernatural,1
1976-04-01,Romance,1
1976-04-02,Action,1
1976-04-04, Sci-Fi,1
1976-04-04,Action,1
1976-04-04, Adventure,1
1976-04-06,Action,1
1976-04-06, Sci-Fi,1
1976-04-07, Slice of Life,1
1976-04-07,Adventure,1
1976-04-17, Sci-Fi,1
1976-04-17,Adventure,1
1976-04-27,Adventure,1
1976-06-07,Unknown,1
1976-07-01,Sci-Fi,1
1976-07-05, Sci-Fi,1
1976-07-05,Action,1
1976-07-18, Sci-Fi,1
1976-07-18,Action,1
1976-07-24,Action,1
1976-08-06, Fantasy,1
1976-08-06,Adventure,1
1976-09-05, Sci-Fi,1
1976-09-05,Action,1
1976-09-15,Adventure,1
1976-10-01,Unknown,3
1976-10-01, Sci-Fi,1
1976-10-01, Slice of Life,1
1976-10-01,Action,1
1976-10-01,Comedy,1
1976-10-01,Drama,1
1976-10-03,Comedy,2
1976-10-03, Slice of Life,2
1976-10-03,Action,1
1976-10-03, Adventure,1
1976-10-06, Sports,1
1976-10-06,Action,1
1976-10-07, Drama,1
1976-10-07, Fantasy,1
1976-10-07, Sci-Fi,1
1976-10-07,Action,1
1976-10-07,Adventure,1
1976-10-12, Comedy,1
1976-10-12, Slice of Life,1
1976-10-12,Adventure,1
1976-12-02,Unknown,1
1976-12-13, Sci-Fi,1
1976-12-13,Action,1
1977-01-01,Unknown,6
1977-01-01,Adventure,3
1977-01-01, Comedy,2
1977-01-01,Comedy,2
1977-01-01,Avant Garde,2
1977-01-01,Romance,1
1977-01-01, Drama,1
1977-01-02, Slice of Life,1
1977-01-02,Drama,1
1977-02-01,Unknown,1
1977-02-03, Sci-Fi,1
1977-02-03, Drama,1
1977-02-03,Action,1
1977-03-01,Drama,1
1977-03-03, Sci-Fi,1
1977-03-03,Mystery,1
1977-03-06,Sci-Fi,1
1977-03-19,Fantasy,1
1977-04-04, Sports,1
1977-04-04,Drama,1
1977-04-09, Sci-Fi,1
1977-04-09,Adventure,1
1977-04-12, Sci-Fi,1
1977-04-12,Action,1
1977-04-30, Fantasy,1
1977-04-30,Comedy,1
1977-06-02,Unknown,1
1977-06-04, Adventure,1
1977-06-04, Drama,1
