Title,Japanese,Type,Studios,Start_Aired,Source,Popularity,Score,Members,Favorites,Genres
Fuki to Hiyoko,ふきとひよこ,Music,Unknown,2013-04-01,Original,16547,5.571,260,1,Unknown
Persona 4 the Animation: A Brief Lesson on Izanagi & Izanami,ペルソナ4 the Animation -A Brief Lesson on Izanagi & Izanami-,Special,AIC ASTA,2013-04-01,Unknown,6693,6.341,6777,6,Unknown
Persona 4 the Animation: Mr. Experiment Shorts,ミスターじっけん,Special,AIC ASTA,2013-04-01,Unknown,6988,5.911,6063,6,Comedy
Shaonian Shiye: Xinyi Xiao Xiake,少年师爷之信义小侠客,TV,Unknown,2013-04-01,Original,20585,,37,0,Unknown
Yi Kong Zhi Dian,翼空之巅,TV,Unknown,2013-04-01,Original,16477,,266,1,"Adventure, Sports"
Go Go Smile Anime,ゴゴスマアニメ,Special,DLE,2013-04-01,Original,17318,,213,0,Comedy
Furusato (2013),ふるさと,Music,Unknown,2013-04-01,Original,19098,,103,0,Unknown
Train Heroes,トレインヒーロー,TV,Unknown,2013-04-02,Unknown,14262,,456,5,Unknown
Heijoukyou: Yasukerashi Miyako,平城京 安けらし都,Movie,Unknown,2013-04-02,Unknown,14514,,424,0,Unknown
Micchiri Neko March,みっちりねこマーチ,Music,Unknown,2013-04-02,Web manga,9477,7.421,2480,15,Unknown
Danball Senki Wars,ダンボール戦機ウォーズ,TV,OLM,2013-04-03,Game,7842,7.011,4565,34,Action
Little Charo 4: Eigo de Aruku New York,リトル・チャロ4 英語で歩くニューヨーク,TV,Spooky graphic,2013-04-03,Original,17681,,192,0,Adventure
Line Town,ラインタウン,TV,Unknown,2013-04-03,Other,12490,6.191,826,5,Comedy
DD Hokuto no Ken (2013),DD北斗の拳,TV,Unknown,2013-04-03,Manga,8298,6.491,3874,9,Unknown
Hataraku Maou-sama!,はたらく魔王さま!,TV,White Fox,2013-04-04,Light novel,66,7.771,1420765,10908,"Comedy, Fantasy, Romance, Supernatural"
RDG: Red Data Girl,RDG レッドデータガール,TV,P.A. Works,2013-04-04,Novel,1726,6.561,106296,221,Fantasy
Karneval (TV),カーニヴァル,TV,Manglobe,2013-04-04,Manga,988,7.101,205736,1135,"Action, Fantasy, Mystery, Sci-Fi"
Dansai Bunri no Crime Edge,断裁分離のクライムエッジ,TV,Studio Gokumi,2013-04-04,Manga,1726,6.681,106299,151,"Action, Fantasy, Romance"
Ginga Kikoutai Majestic Prince,銀河機攻隊 マジェスティックプリンス,TV,"Doga Kobo, Orange",2013-04-04,Manga,2625,7.331,53077,162,"Action, Sci-Fi"
Uta no☆Prince-sama♪ Maji Love 2000%,うたの☆プリンスさまっ♪ マジLOVE2000%,TV,A-1 Pictures,2013-04-04,Visual novel,1708,7.191,107771,530,"Comedy, Romance"
Hyakka Ryouran: Samurai Bride,百花繚乱 サムライブライド,TV,Arms,2013-04-05,Light novel,1888,6.721,93508,88,"Action, Comedy, Ecchi"
