anime_ID,Start_Aired,Genres
9166,1970-12-19,Drama
9166,1970-12-19, Sports
38873,1971-01-01,Avant Garde
38875,1971-01-01,Avant Garde
29669,1971-01-01,Avant Garde
29617,1971-01-01,Avant Garde
29411,1971-01-01,Unknown
29619,1971-01-01,Avant Garde
38874,1971-01-01,Avant Garde
29679,1971-01-01,Drama
38871,1971-01-01,Avant Garde
3683,1971-01-01,Comedy
16820,1971-01-01,Action
29988,1971-01-01,Avant Garde
29987,1971-01-01,Avant Garde
29585,1971-01-01,Unknown
49422,1971-01-01,Unknown
30065,1971-01-01,Unknown
49195,1971-01-01,Avant Garde
38872,1971-01-01,Avant Garde
32224,1971-01-01,Drama
29675,1971-01-01,Drama
7779,1971-01-03,Drama
7779,1971-01-03, Fantasy
39225,1971-02-03,Unknown
17457,1971-02-15,Adventure
17457,1971-02-15, Comedy
9164,1971-03-17,Drama
9164,1971-03-17, Sports
3842,1971-03-20,Adventure
30965,1971-03-20,Action
30965,1971-03-20, Adventure
8436,1971-04-03,Unknown
3819,1971-04-08,Drama
36811,1971-06-03,Unknown
3843,1971-07-18,Action
3843,1971-07-18, Fantasy
48909,1971-08-01,Adventure
28023,1971-09-01,Unknown
7980,1971-09-01,Comedy
7980,1971-09-01, Slice of Life
7980,1971-09-01, Supernatural
26081,1971-09-24,Hentai
6468,1971-09-25,Comedy
6468,1971-09-25, Slice of Life
10241,1971-10-01,Comedy
5476,1971-10-03,Unknown
6311,1971-10-04,Comedy
17669,1971-10-06,Comedy
17669,1971-10-06, Sports
3844,1971-10-06,Action
3844,1971-10-06, Sports
6971,1971-10-07,Adventure
6971,1971-10-07, Supernatural
42637,1971-10-08,Unknown
22997,1971-10-14,Action
22997,1971-10-14, Sci-Fi
1412,1971-10-24,Action
1412,1971-10-24, Adventure
1412,1971-10-24, Comedy
1412,1971-10-24, Mystery
1537,1971-10-30,Action
1537,1971-10-30, Adventure
1537,1971-10-30, Romance
1537,1971-10-30, Sci-Fi
36392,1971-12-02,Unknown
36396,1971-12-03,Unknown
11693,1971-12-12,Drama
43374,1972-01-01,Unknown
7713,1972-01-01,Fantasy
39408,1972-01-01,Unknown
22255,1972-01-01,Avant Garde
30673,1972-01-01,Comedy
29833,1972-01-01,Unknown
15021,1972-01-01,Drama
34528,1972-01-01,Fantasy
30328,1972-01-01,Avant Garde
42585,1972-01-01,Avant Garde
7025,1972-01-01,Avant Garde
7025,1972-01-01, Horror
34458,1972-01-01,Fantasy
16746,1972-01-01,Action
16746,1972-01-01, Supernatural
7171,1972-01-01,Supernatural
43375,1972-01-01,Unknown
29814,1972-01-01,Unknown
2574,1972-01-04,Adventure
2574,1972-01-04, Fantasy
8235,1972-01-09,Adventure
8235,1972-01-09, Comedy
